date,type,category,latitude,longitude
1/17/2004 0:00:00,Suspicious Incident,Surveillance,34.54417038,69.31223297
1/18/2004 0:00:00,Friendly Action,Cache Found/Cleared,33.34222031,69.3722229
1/18/2004 0:00:00,Enemy Action,Indirect Fire,33.2836113,70.24694061
1/18/2004 0:00:00,Enemy Action,Direct Fire,32.03472137,65.58165741
1/18/2004 0:00:00,Friendly Action,Cache Found/Cleared,33.70138931,68.28166962
1/18/2004 0:00:00,Enemy Action,Direct Fire,30.95000076,66.41665649
1/18/2004 0:00:00,Friendly Action,Cache Found/Cleared,33.39556122,69.34751129
1/18/2004 2:00:00,Enemy Action,Direct Fire,32.63388824,65.5030365
1/18/2004 11:00:00,Friendly Action,Cache Found/Cleared,33.45888901,68.26612091
1/19/2004 0:00:00,Friendly Action,Cache Found/Cleared,33.2611084,69.99276733
1/19/2004 0:00:00,Friendly Action,Cache Found/Cleared,33.25,70.00527191
1/19/2004 0:00:00,Friendly Action,Cache Found/Cleared,35.34666824,68.97251129
1/19/2004 0:00:00,Friendly Action,Cache Found/Cleared,33.76583099,69.48695374
1/19/2004 0:00:00,Friendly Action,Cache Found/Cleared,30.99555969,66.28943634
1/19/2004 0:00:00,Enemy Action,Direct Fire,31,66.40000153
1/19/2004 0:00:00,Enemy Action,Direct Fire,33.37250137,69.97834015
1/26/2004 0:00:00,Friendly Action,Cache Found/Cleared,32.67527008,69.14389038
1/20/2004 0:00:00,Friendly Action,Cache Found/Cleared,33.76583099,69.48695374
1/20/2004 0:00:00,Friendly Action,Cache Found/Cleared,33.42583084,68.30944824
1/20/2004 0:00:00,Enemy Action,Indirect Fire,33.43582153,69.04194641
1/21/2004 0:00:00,Non-Combat Event,Propaganda,33.4605484,69.99111176
1/22/2004 0:00:00,Friendly Action,Cache Found/Cleared,32.37443924,66.77944946
1/22/2004 0:00:00,Suspicious Incident,Surveillance,34.55408859,69.32198334
1/22/2004 0:00:00,Enemy Action,Direct Fire,33.42625046,64.01112366
1/22/2004 0:00:00,Friendly Action,Cache Found/Cleared,33.48693848,68.14054871
1/23/2004 0:00:00,Friendly Action,Cache Found/Cleared,33.44055176,69.02500153
1/23/2004 0:00:00,Friendly Action,Cache Found/Cleared,32.67082977,69.1205368
1/23/2004 0:00:00,Enemy Action,Direct Fire,32.09999084,66.90000153
1/23/2004 0:00:00,Friendly Action,Cache Found/Cleared,35.31888962,70.73916626
1/23/2004 0:00:00,Friendly Action,Cache Found/Cleared,34.33832932,70.20110321
1/24/2004 0:00:00,Friendly Action,Cache Found/Cleared,33.48693848,68.14054871
1/24/2004 0:00:00,Friendly Action,Cache Found/Cleared,32.07833099,66.81223297
1/24/2004 0:00:00,Enemy Action,Other (Hostile Action),34.15832901,61.85194016
1/24/2004 0:00:00,Enemy Action,Direct Fire,32.06666183,67.23332977
1/24/2004 0:00:00,Friendly Action,Cache Found/Cleared,32.37443924,66.77944946
1/25/2004 0:00:00,Enemy Action,Direct Fire,31.83332062,66.35001373
1/25/2004 0:00:00,Explosive Hazard,IED Explosion,34.82860947,71.12249756
1/25/2004 0:00:00,Friendly Action,Cache Found/Cleared,33.59693909,69.21833038
1/25/2004 0:00:00,Friendly Action,Cache Found/Cleared,34.56082916,69.24194336
1/25/2004 19:30:00,Enemy Action,Indirect Fire,31.50749969,65.8463974
1/26/2004 0:00:00,Enemy Action,Indirect Fire,34.79417038,71.1258316
1/26/2004 0:00:00,Enemy Action,Direct Fire,32.89749908,69.44695282
1/26/2004 0:00:00,Friendly Action,Cache Found/Cleared,34.98999023,69.34416962
